"Date","Maximum Temperature","Minimum Temperature","Average Temperature","Departure"
"2022-06-01",74,59,66.5,0.5
"2022-06-02",77,58,67.5,1.2
"2022-06-03",81,58,69.5,2.8
"2022-06-04",71,54,62.5,-4.5
"2022-06-05",77,58,67.5,0.1
"2022-06-06",76,57,66.5,-1.2
"2022-06-07",72,56,64.0,-4.0
"2022-06-08",69,56,62.5,-5.9
"2022-06-09",78,53,65.5,-3.2
"2022-06-10",78,58,68.0,-1.1
"2022-06-11",73,59,66.0,-3.4
"2022-06-12",70,58,64.0,-5.7
"2022-06-13",89,57,73.0,3.0
"2022-06-14",98,65,81.5,11.1
"2022-06-15",96,76,86.0,15.3
"2022-06-16",94,72,83.0,12.0
"2022-06-17",84,64,74.0,2.7
"2022-06-18",72,55,63.5,-8.1
"2022-06-19",85,52,68.5,-3.4
"2022-06-20",95,64,79.5,7.4
"2022-06-21",99,73,86.0,13.6
"2022-06-22",89,72,80.5,7.8
"2022-06-23",85,65,75.0,2.1
"2022-06-24",92,65,78.5,5.3
"2022-06-25",77,67,72.0,-1.4
"2022-06-26",80,65,72.5,-1.1
"2022-06-27",80,60,70.0,-3.8
"2022-06-28",86,61,73.5,-0.5
"2022-06-29",88,66,77.0,2.8
"2022-06-30",92,73,82.5,8.1
